\123jiasu\ 			123加速浏览器
\YouJianDaShi\			右键管家
\YouXiangWiFi\			优享wifi（数签待定）
\YunTXT\			云记事本
\YunMiniInfo\			云记事本广告组件
\YENote\			优易贴
\YZWallpaper\			柚子壁纸
\ZPDFEdit\			转转大师PDF编辑器
\ZZDS\				转转大师PDF转Word
\ZHPDFReader\			中华PDF阅读器
\ZHWorkKit\			中华办公模板
\ZhongXiangWiFi\		众享免费wifi
\ZheGouZhuShou\			折购助手
\zmassist\			广告程序目录
\zShut\			Juzip定时关机
